Altium Designer Pick and Place Locations
D:\WorkSpace\Altium\NANORACK\LASERDIODE V1.2.0\01_DESIGN\Project Outputs for NANORACK_LASER\Pick Place for LASERDIODE_V1.1.0.csv

========================================================================================================================
File Design Information:

Date:       20/01/25
Time:       14:43
Revision:   dcc504d6da08bfd7bc4272b9004d9c065d8e4476
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"TP9","Test_Point","BottomLayer","TESTPOINT","73.6600","29.9720","90",""
"R1","4.7K 1%","BottomLayer","RES-SMD-0603","70.9741","30.9881","180","0603"
"J3","BYPASS/DNP","BottomLayer","BIG_CONNECTOR","75.1840","4.9290","270","DNP"
"H8","HOLD","TopLayer","M3","3.6000","25.6000","0",""
"H7","HOLD","TopLayer","M3","3.6000","36.4000","0",""
"H6","HOLD","TopLayer","M3","3.6000","81.4000","0",""
"H5","HOLD","TopLayer","M3","81.4000","81.4000","0",""
"H4","HOLD","TopLayer","M3","81.4000","36.4000","0",""
"H3","HOLD","TopLayer","M3","81.4000","25.6000","0",""
"H2","HOLD","TopLayer","M3","81.4000","3.6000","0",""
"H1","HOLD","TopLayer","M3","3.6000","3.6000","0",""
"U11","TPS5430DDAR","BottomLayer","HSOP8","63.1630","14.3510","0","8SOP"
"U10","ADG1414BCPZ","BottomLayer","ADG1414BCPZ","65.9130","57.1000","90","IC SW SPST-NOX8 11.5OHM 24LFCSP"
"U9","ADG1414BCPZ","BottomLayer","ADG1414BCPZ","65.9130","35.5000","90","IC SW SPST-NOX8 11.5OHM 24LFCSP"
"U8","ADG1414BCPZ","BottomLayer","ADG1414BCPZ","65.9130","42.7000","90","IC SW SPST-NOX8 11.5OHM 24LFCSP"
"U7","ADG1414BCPZ","BottomLayer","ADG1414BCPZ","65.9130","64.3000","90","IC SW SPST-NOX8 11.5OHM 24LFCSP"
"U6","ADG1414BCPZ","BottomLayer","ADG1414BCPZ","65.9130","49.9000","90","IC SW SPST-NOX8 11.5OHM 24LFCSP"
"U5","ADG1414BCPZ","BottomLayer","ADG1414BCPZ","65.9130","71.5000","90","IC SW SPST-NOX8 11.5OHM 24LFCSP"
"U3","OPA4340","BottomLayer","SSOP16","33.5280","15.8750","90","IC CMOS 4 CIRCUIT 16SSOP"
"U2","MCP4902-E/ST","BottomLayer","TSSOP14","47.7520","25.5270","180","IC DAC 8BIT V-OUT 14TSSOP"
"U1","TPS7A4533DCQR","BottomLayer","SOT223-6","43.9142","5.9191","90","IC REG LINEAR 3.3V 1.5A SOT223-6"
"TP19","Test_Point","BottomLayer","TESTPOINT","73.6600","32.5120","180",""
"TP18","Test_Point","BottomLayer","TESTPOINT","73.6600","54.1338","180",""
"TP17","Test_Point","BottomLayer","TESTPOINT","73.6600","39.7193","90",""
"TP16","Test_Point","BottomLayer","TESTPOINT","73.6600","61.3410","90",""
"TP15","Test_Point","BottomLayer","TESTPOINT","73.6600","46.9265","90",""
"TP14","Test_Point","BottomLayer","TESTPOINT","52.8320","75.1840","90",""
"TP13","Test_Point","BottomLayer","TESTPOINT","60.8330","75.1840","90",""
"TP12","Test_Point","BottomLayer","TESTPOINT","38.4810","24.1300","90",""
"TP11","Test_Point","BottomLayer","TESTPOINT","28.5750","2.7774","0",""
"TP6","Test_Point","BottomLayer","TESTPOINT","73.6600","68.5800","90",""
"TP5","Test_Point","BottomLayer","TESTPOINT","62.6110","24.0030","90",""
"TP4","Test_Point","BottomLayer","TESTPOINT","58.9280","24.0030","90",""
"TP3","Test_Point","BottomLayer","TESTPOINT","38.4810","26.6700","90",""
"TP2","Test_Point","BottomLayer","TESTPOINT","28.5750","25.7810","90",""
"TP1","Test_Point","BottomLayer","TESTPOINT","36.7030","7.8740","180",""
"R36","4.7K 1%","BottomLayer","RES-SMD-0603","70.1039","35.4812","270","0603"
"R27","3.24K 0.1%","BottomLayer","RES-SMD-0603","57.0231","15.5129","90","ERA-3AEB3241V"
"R26","10K 1%","BottomLayer","RES-SMD-0603","57.0229","11.1571","270","0603"
"R25","4.7K 1%","BottomLayer","RES-SMD-0603","45.7011","21.4631","180","0603"
"R24","4.7K 1%","BottomLayer","RES-SMD-0603","70.9741","33.0201","180","0603"
"R23","4.7K 1%","BottomLayer","RES-SMD-0603","70.9741","40.1956","180","0603"
"R22","4.7K 1%","BottomLayer","RES-SMD-0603","70.9741","47.3711","180","0603"
"R21","4.7K 1%","BottomLayer","RES-SMD-0603","70.9741","54.5466","180","0603"
"R20","4.7K 1%","BottomLayer","RES-SMD-0603","70.9741","61.7221","180","0603"
"R19","4.7K 1%","BottomLayer","RES-SMD-0603","70.1039","71.4812","270","0603"
"R18","4.7K 1%","BottomLayer","RES-SMD-0603","70.1039","42.6812","270","0603"
"R17","4.7K 1%","BottomLayer","RES-SMD-0603","70.1039","49.8812","270","0603"
"R16","4.7K 1%","BottomLayer","RES-SMD-0603","70.1039","57.0812","270","0603"
"R15","4.7K 1%","BottomLayer","RES-SMD-0603","70.1039","64.2812","270","0603"
"R14","250R 1%","BottomLayer","RES-SMD-1206","36.5879","29.2205","180","0603"
"R13","50R 1%","BottomLayer","RES-SMD-0603","38.4811","21.2279","90","0603"
"R12","1K 1%","BottomLayer","RES-SMD-0603","34.1820","21.7169","0","0603"
"R11","100R 1%","BottomLayer","RES-SMD-0603","28.5751","18.3069","90","0603"
"R10","50R 1%","BottomLayer","RES-SMD-0603","34.1441","23.8761","180","0603"
"R9","250R 1%","BottomLayer","RES-SMD-1206","36.5887","2.7647","180","1206"
"R8","50R 1%","BottomLayer","RES-SMD-0603","28.5749","13.9511","270","0603"
"R7","1K 1%","BottomLayer","RES-SMD-0603","33.9528","10.2871","180","0603"
"R6","100R 1%","BottomLayer","RES-SMD-0603","38.4817","5.8231","270","0603"
"R5","50R 1%","BottomLayer","RES-SMD-0603","33.9528","7.8741","180","0603"
"R4","4.7K 1%","BottomLayer","RES-SMD-0603","49.8921","19.1771","180","0603"
"R2","4.7K 1%","BottomLayer","RES-SMD-0603","49.8921","21.4631","180","0603"
"Q2","AO3400","BottomLayer","SOT23-132","29.8250","28.7985","90",""
"Q1","AO3400","BottomLayer","SOT23-132","29.7166","5.9690","270",""
"LD36","LaserDiode","TopLayer","LASER_SOCKET","10.1400","35.5000","0",""
"LD35","LaserDiode","TopLayer","LASER_SOCKET","19.4740","35.5000","0",""
"LD34","LaserDiode","TopLayer","LASER_SOCKET","28.8080","35.5000","0",""
"LD33","LaserDiode","TopLayer","LASER_SOCKET","38.1420","35.5000","0",""
"LD32","LaserDiode","TopLayer","LASER_SOCKET","47.4760","35.5000","0",""
"LD31","LaserDiode","TopLayer","LASER_SOCKET","56.8100","35.5000","0",""
"LD30","LaserDiode","TopLayer","LASER_SOCKET","10.1400","42.7000","0",""
"LD29","LaserDiode","TopLayer","LASER_SOCKET","19.4740","42.7000","0",""
"LD28","LaserDiode","TopLayer","LASER_SOCKET","28.8080","42.7000","0",""
"LD27","LaserDiode","TopLayer","LASER_SOCKET","38.1420","42.7000","0",""
"LD26","LaserDiode","TopLayer","LASER_SOCKET","47.4760","42.7000","0",""
"LD25","LaserDiode","TopLayer","LASER_SOCKET","56.8100","42.7000","0",""
"LD24","LaserDiode","TopLayer","LASER_SOCKET","10.1400","49.9000","0",""
"LD23","LaserDiode","TopLayer","LASER_SOCKET","19.4740","49.9000","0",""
"LD22","LaserDiode","TopLayer","LASER_SOCKET","28.8080","49.9000","0",""
"LD21","LaserDiode","TopLayer","LASER_SOCKET","38.1420","49.9000","0",""
"LD20","LaserDiode","TopLayer","LASER_SOCKET","47.4760","49.9000","0",""
"LD19","LaserDiode","TopLayer","LASER_SOCKET","56.8100","49.9000","0",""
"LD18","LaserDiode","TopLayer","LASER_SOCKET","10.1400","57.1000","0",""
"LD17","LaserDiode","TopLayer","LASER_SOCKET","19.4740","57.1000","0",""
"LD16","LaserDiode","TopLayer","LASER_SOCKET","28.8080","57.1000","0",""
"LD15","LaserDiode","TopLayer","LASER_SOCKET","38.1420","57.1000","0",""
"LD14","LaserDiode","TopLayer","LASER_SOCKET","47.4760","57.1000","0",""
"LD13","LaserDiode","TopLayer","LASER_SOCKET","56.8100","57.1000","0",""
"LD12","LaserDiode","TopLayer","LASER_SOCKET","10.1400","64.3000","0",""
"LD11","LaserDiode","TopLayer","LASER_SOCKET","19.4740","64.3000","0",""
"LD10","LaserDiode","TopLayer","LASER_SOCKET","28.8080","64.3000","0",""
"LD9","LaserDiode","TopLayer","LASER_SOCKET","38.1420","64.3000","0",""
"LD8","LaserDiode","TopLayer","LASER_SOCKET","47.4760","64.3000","0",""
"LD7","LaserDiode","TopLayer","LASER_SOCKET","56.8100","64.3000","0",""
"LD6","LaserDiode","TopLayer","LASER_SOCKET","10.1400","71.5000","0",""
"LD5","LaserDiode","TopLayer","LASER_SOCKET","19.4740","71.5000","0",""
"LD4","LaserDiode","TopLayer","LASER_SOCKET","28.8080","71.5000","0",""
"LD3","LaserDiode","TopLayer","LASER_SOCKET","38.1420","71.5000","0",""
"LD2","LaserDiode","TopLayer","LASER_SOCKET","47.4760","71.5000","0",""
"LD1","LaserDiode","TopLayer","LASER_SOCKET","56.8100","71.5000","0",""
"L2","15uH/3.5A","BottomLayer","SRP7050TA","63.1630","5.4610","180","SRP7050TA-150M"
"L1","10uH","BottomLayer","FER_0805/2012","41.6167","22.9870","270","MLZ1608N100LT000"
"J2","JP7x2","BottomLayer","JP7-D2T","75.0000","19.0000","90","WR-PHD 2.54 mm Dual Socket Header"
"J1","LASER EXT","BottomLayer","0532610871","77.7935","67.2230","90","WR-PHD 2.54 mm Angled Socket Header"
"D58","SS54","BottomLayer","DIO-SMD-A","71.3170","5.1380","90","DIODE SCHOTTKY 40V 5A SMA"
"D57","S2303","BottomLayer","SOT23-123","77.9780","51.5197","90","TVS DIODE 3.3VWM 8VC SOT23, P/N:  
S2303"
"D56","S2303","BottomLayer","SOT23-123","66.2940","24.0030","180","TVS DIODE 3.3VWM 8VC SOT23, P/N:  
S2303"
"D55","S2303","BottomLayer","SOT23-123","66.2940","28.4480","180","TVS DIODE 3.3VWM 8VC SOT23, P/N:  
S2303"
"D54","S2303","BottomLayer","SOT23-123","60.6820","28.4480","180","TVS DIODE 3.3VWM 8VC SOT23, P/N:  
S2303"
"D53","S2303","BottomLayer","SOT23-123","54.9431","24.0030","180","TVS DIODE 3.3VWM 8VC SOT23, P/N:  
S2303"
"D52","S2312","BottomLayer","SOT23-123","54.9431","28.4480","180","TVS DIODE 12VWM 19VC SOT23, P/N:  S2312"
"D51","S2303","BottomLayer","SOT23-123","77.9780","43.0530","90","TVS DIODE 3.3VWM 8VC SOT23, P/N:  
S2303"
"D50","S2303","BottomLayer","SOT23-123","77.9780","47.2863","90","TVS DIODE 3.3VWM 8VC SOT23, P/N:  
S2303"
"D49","S2312","BottomLayer","SOT23-123","77.9780","55.7530","90","TVS DIODE 12VWM 19VC SOT23, P/N:  S2312"
"D40","1N4148W-TP","BottomLayer","SOD23","10.1400","39.1840","180","DIODE GEN PURP 100V 150MA SOD123"
"D38","1N4148W-TP","BottomLayer","SOD23","19.4740","39.1840","180","DIODE GEN PURP 100V 150MA SOD123"
"D35","1N4148W-TP","BottomLayer","SOD23","28.8080","39.1840","180","DIODE GEN PURP 100V 150MA SOD123"
"D34","1N4148W-TP","BottomLayer","SOD23","38.1420","39.1840","180","DIODE GEN PURP 100V 150MA SOD123"
"D32","1N4148W-TP","BottomLayer","SOD23","28.8080","46.3840","180","DIODE GEN PURP 100V 150MA SOD123"
"D31","1N4148W-TP","BottomLayer","SOD23","47.4760","39.1840","180","DIODE GEN PURP 100V 150MA SOD123"
"D30","1N4148W-TP","BottomLayer","SOD23","38.1420","46.3840","180","DIODE GEN PURP 100V 150MA SOD123"
"D29","1N4148W-TP","BottomLayer","SOD23","56.8100","39.1840","180","DIODE GEN PURP 100V 150MA SOD123"
"D28","1N4148W-TP","BottomLayer","SOD23","10.1400","46.3840","180","DIODE GEN PURP 100V 150MA SOD123"
"D27","1N4148W-TP","BottomLayer","SOD23","47.4760","46.3840","180","DIODE GEN PURP 100V 150MA SOD123"
"D26","1N4148W-TP","BottomLayer","SOD23","56.8100","46.3840","180","DIODE GEN PURP 100V 150MA SOD123"
"D25","1N4148W-TP","BottomLayer","SOD23","19.4740","46.3840","180","DIODE GEN PURP 100V 150MA SOD123"
"D24","1N4148W-TP","BottomLayer","SOD23","47.4760","53.5840","180","DIODE GEN PURP 100V 150MA SOD123"
"D23","1N4148W-TP","BottomLayer","SOD23","10.1400","53.5840","180","DIODE GEN PURP 100V 150MA SOD123"
"D22","1N4148W-TP","BottomLayer","SOD23","56.8100","53.5840","180","DIODE GEN PURP 100V 150MA SOD123"
"D21","1N4148W-TP","BottomLayer","SOD23","19.4740","53.5840","180","DIODE GEN PURP 100V 150MA SOD123"
"D20","1N4148W-TP","BottomLayer","SOD23","28.8080","53.5840","180","DIODE GEN PURP 100V 150MA SOD123"
"D19","1N4148W-TP","BottomLayer","SOD23","10.1400","60.7840","180","DIODE GEN PURP 100V 150MA SOD123"
"D18","1N4148W-TP","BottomLayer","SOD23","19.4740","60.7840","180","DIODE GEN PURP 100V 150MA SOD123"
"D17","1N4148W-TP","BottomLayer","SOD23","38.1420","53.5840","180","DIODE GEN PURP 100V 150MA SOD123"
"D16","1N4148W-TP","BottomLayer","SOD23","10.1400","67.9840","180","DIODE GEN PURP 100V 150MA SOD123"
"D15","1N4148W-TP","BottomLayer","SOD23","28.8080","60.7840","180","DIODE GEN PURP 100V 150MA SOD123"
"D14","1N4148W-TP","BottomLayer","SOD23","19.4740","67.9840","180","DIODE GEN PURP 100V 150MA SOD123"
"D13","1N4148W-TP","BottomLayer","SOD23","38.1420","60.7840","180","DIODE GEN PURP 100V 150MA SOD123"
"D12","1N4148W-TP","BottomLayer","SOD23","28.8080","67.9840","180","DIODE GEN PURP 100V 150MA SOD123"
"D11","1N4148W-TP","BottomLayer","SOD23","47.4760","60.7840","180","DIODE GEN PURP 100V 150MA SOD123"
"D10","1N4148W-TP","BottomLayer","SOD23","38.1420","67.9840","180","DIODE GEN PURP 100V 150MA SOD123"
"D9","1N4148W-TP","BottomLayer","SOD23","56.8100","60.7840","180","DIODE GEN PURP 100V 150MA SOD123"
"D8","1N4148W-TP","BottomLayer","SOD23","28.8080","75.1840","180","DIODE GEN PURP 100V 150MA SOD123"
"D7","1N4148W-TP","BottomLayer","SOD23","47.4760","67.9840","180","DIODE GEN PURP 100V 150MA SOD123"
"D6","1N4148W-TP","BottomLayer","SOD23","38.1420","75.1840","180","DIODE GEN PURP 100V 150MA SOD123"
"D5","1N4148W-TP","BottomLayer","SOD23","19.4740","75.1840","180","DIODE GEN PURP 100V 150MA SOD123"
"D4","1N4148W-TP","BottomLayer","SOD23","47.4760","75.1840","180","DIODE GEN PURP 100V 150MA SOD123"
"D3","1N4148W-TP","BottomLayer","SOD23","10.1400","75.1840","180","DIODE GEN PURP 100V 150MA SOD123"
"D2","1N4148W-TP","BottomLayer","SOD23","56.8100","67.9840","180","DIODE GEN PURP 100V 150MA SOD123"
